surface_habitable_logement,annee_construction,periode_construction,type_batiment,type_energie_principale_chauffage,type_generateur_chauffage_principal,emission_ges_chauffage,emission_ges_ecs,emission_ges_eclairage,emission_ges_5_usages,emission_ges_5_usages_par_m2,etiquette_ges,code_postal_ban,nom_commune_ban
32.0,1948.0,1948-1974,appartement,Réseau de Chauffage urbain,Réseau de chaleur isolé,550.5,576.3,4.2,1157.0,36.0,D,75013.0,Paris
74.2,1947.0,avant 1948,appartement,Électricité,Radiateur électrique à accumulation,562.0,139.0,9.3,748.1,10.0,B,54160.0,Pulligny
38.6,1948.0,avant 1948,appartement,Gaz naturel,Chaudière gaz à condensation 2001-2015,12.4,3.3,0.1,1761.7,45.7,D,75007.0,Paris
57.2,,avant 1948,maison,Électricité,"Panneau rayonnant électrique NFC, NF** et NF***",277.8,112.8,7.6,434.7,7.0,B,44390.0,Les Touches
32.2,1947.0,avant 1948,appartement,Électricité,"Panneau rayonnant électrique NFC, NF** et NF***",155.9,98.3,4.2,264.4,8.0,B,93370.0,Montfermeil
37.8,2006.0,2006-2012,appartement,Électricité,"Convecteur électrique NFC, NF** et NF***",93.0,99.0,5.1,209.3,5.0,A,32000.0,Auch
120.0,1947.0,avant 1948,maison,Fioul domestique,Chaudière fioul à condensation 1996-2015,4258.0,1017.7,15.4,5338.2,44.0,D,71420.0,Ciry-le-Noble
33.0,1947.0,avant 1948,appartement,Électricité,Radiateur électrique à accumulation,240.2,102.7,4.1,347.0,10.0,B,89000.0,Auxerre
64.0,1977.0,1975-1977,appartement,Électricité,"Convecteur électrique NFC, NF** et NF***",309.9,128.3,8.0,470.0,7.0,B,45380.0,La Chapelle-Saint-Mesmin
115.0,1975.0,1975-1977,maison,Fioul domestique,Chaudière fioul basse température après 2015,5088.6,1208.5,15.0,6364.4,55.0,E,56760.0,Pénestin
77.0,1995.0,1989-2000,maison,Électricité,Autres émetteurs à effet joule,576.7,93.7,9.7,708.4,9.1,B,68570.0,Soultzmatt
144.4,,avant 1948,maison,Électricité,"Panneau rayonnant électrique NFC, NF** et NF***",714.3,36.4,19.2,789.6,5.0,A,85570.0,Petosse
90.1,1974.0,1948-1974,maison,Électricité,"Convecteur électrique NFC, NF** et NF***",914.9,150.3,11.6,1076.7,11.9,C,43110.0,Aurec-sur-Loire
64.6,1973.0,1948-1974,appartement,Réseau de Chauffage urbain,Réseau de chaleur isolé,416.0,368.3,8.4,801.0,12.0,C,2400.0,Château-Thierry
50.7,1989.0,1989-2000,appartement,Électricité,"Convecteur électrique NFC, NF** et NF***",213.8,111.9,6.6,353.8,6.0,B,35630.0,Vignoc
66.2,1989.0,1989-2000,maison,Électricité,"Convecteur électrique NFC, NF** et NF***",500.2,111.3,8.6,648.2,9.0,B,50420.0,Tessy-Bocage
42.0,2006.0,2006-2012,appartement,Électricité,Plancher ou plafond rayonnant électrique sans régulation terminale,372.5,118.5,5.4,512.8,12.2,C,25300.0,Vuillecin
148.0,2001.0,2001-2005,maison,Bois – Granulés (pellets) ou briquettes,Poêle à granulés flamme verte installé à partir de 2020,644.2,173.3,20.1,874.1,5.0,A,65410.0,Sarrancolin
